ID,FECHA,GERENCIA CAM,SUB GERENCIA CAM,AREA DE CAM,EMPRESA CONTRATISTA,Nº ENC,Q NC,N IPAL,CIERRE
"195","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","SOT (Civil - Electrico)","CAM Chile S.A","1","2","70","ABIERTA"
"196","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","SOT (Civil - Electrico)","CAM Chile S.A","1","0","0","N/A"
"197","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","SOT (Civil - Electrico)","CAM Chile S.A","1","0","0","N/A"
"198","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","SOT (Civil - Electrico)"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"207","05-2014","Servicios de Negocios","Servicios de Negocios","Logística"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"267","05-2014","Servicios de Negocios","Servicios de Negocios","Logística","SOSIAS","1","0","0","N/A"
"274","05-2014","Servicios de Negocios","Servicios de Negocios","Logística"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"325","05-2014","Gerencia Operaciones","Servicios de Distribucion","Mantenimiento Aereo"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"181","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia"," -- SIN CONTRATISTA -- ","1","1","20","ABIERTA"
"192","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"193","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"334","05-2014","Gerencia Operaciones","Servicios de Distribucion","Construccion OOEE y OOCC"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"241","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"242","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"230","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","1","20","ABIERTA"
"233","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","1","20","ABIERTA"
"185","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica","SILVA & CIA","1","0","0","N/A"
"187","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica","SILVA & CIA","1","0","0","N/A"
"188","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica","SILVA & CIA","1","0","0","N/A"
"189","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica","SILVA & CIA","1","0","0","N/A"
"190","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica","SILVA & CIA","1","1","20","ABIERTA"
"179","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica","Fuster","1","3","60","ABIERTA"
"229","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"231","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"232","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"261","05-2014","Gerencia Operaciones","Telemedida y Automatizacion","Eléctrica"," -- SIN CONTRATISTA -- ","1","1","40","ABIERTA"
"191","05-2014","Gerencia Operaciones","Telemedida y Automatizacion","Eléctrica","CODEL","1","0","0","N/A"
"194","05-2014","Servicios de Negocios","Servicios de Negocios","Logística"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"206","05-2014","Servicios de Negocios","Servicios de Negocios","Logística","SOSIAS","1","1","20","ABIERTA"
"167","05-2014","Gerencia Operaciones","Servicios de Distribucion","Mantenimiento Subterraneo"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"169","05-2014","Gerencia Operaciones","Servicios de Distribucion","Mantenimiento Subterraneo"," -- SIN CONTRATISTA -- ","1","1","20","ABIERTA"
"173","05-2014","Gerencia Operaciones","Servicios de Distribucion","Mantenimiento Subterraneo"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"170","05-2014","Gerencia Operaciones","Servicios de Distribucion","Mantenimiento Aereo"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"174","05-2014","Gerencia Operaciones","Servicios de Distribucion","Mantenimiento Aereo"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"342","05-2014","Gerencia Operaciones","Servicios de Distribucion","Mantenimiento Aereo","CAM Chile S.A","1","0","0","N/A"
"165","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia"," -- SIN CONTRATISTA -- ","1","3","40","ABIERTA"
"243","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","1","20","ABIERTA"
"244","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","1","20","ABIERTA"
"245","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"168","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"171","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","1","20","ABIERTA"
"159","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia"," -- SIN CONTRATISTA -- ","1","2","40","ABIERTA"
"166","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia"," -- SIN CONTRATISTA -- ","1","1","20","ABIERTA"
"186","05-2014","Gerencia Operaciones","Servicios de Distribucion","Construccion OOEE y OOCC"," -- SIN CONTRATISTA -- ","1","2","70","ABIERTA"
"225","05-2014","Gerencia Operaciones","Servicios de Distribucion","Construccion OOEE y OOCC"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"333","05-2014","Gerencia Operaciones","Servicios de Distribucion","Construccion OOEE y OOCC"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"336","05-2014","Gerencia Operaciones","Servicios de Distribucion","Construccion OOEE y OOCC"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"164","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","SOT (Civil - Electrico)","CAM Chile S.A","1","0","0","N/A"
"175","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","1","20","ABIERTA"
"176","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"152","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","3","40","ABIERTA"
"153","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"251","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
